200922-949-52	\sqrt { \gamma }
200923-1553-2	\int e ^ { x ^ { 2 } } x ^ { 3 } d x
MfrDB2438	\lim \limits _ { n \rightarrow \infty } x _ { n } = L
200923-131-125	g + \sin ^ { c } o
200922-947-13	\sqrt { 1 + \sqrt { 1 + z ^ { 2 } } }
200922-1017-9	\int \limits _ { a ^ { \sigma } } ^ { e } L + w d q
90_Fabricio	y = r \sin \theta
MfrDB3309	\sum \limits _ { n = 1 } ^ { \infty } ( b _ { n } - b _ { n + 1 } )
200924-1312-48	\sin ( \frac { \pi } { 3 } ) = \frac { 1 } { 2 }
200924-1331-24	\int e ^ { - z ^ { 2 } } d z = e r f ( z )
TrainData2_4_sub_20	a + b + c + d + e
2009212-952-42	\frac { 1 } { 3 } \pi r ^ { 2 } h
90_Frank	y = r \sin \theta
2009220-1327-67	\tan ( \frac { \pi } { 4 } ) = 1
KME2G3_1_sub_81	\pi \int \limits _ { c } ^ { d } \{ g ( y ) \} ^ { 2 } d y
200923-131-43	\frac { \pi r ^ { 2 } h } { 3 }
200924-1312-302	i + w _ { f } \geq - H
106_carlos	y ^ { 4 } + y + 1 = 0
MfrDB1327	\sqrt { a } = 2 ^ { - n } \sqrt { 4 ^ { n } a }
200922-949-68	\tan ( \frac { \pi } { 2 } ) = \infty
KME2G3_20_sub_96	[ b ^ { x } \{ ( \frac { a } { b } ) ^ { x } + 1 \} ] ^ { \frac { 1 } { x } }
MfrDB0345	\frac { x ^ { 2 } + 1 2 3 } { 4 }
90_miguel	y = r \sin \theta
200923-1556-73	a ^ { b ^ { c ^ { d } } }
200926-1550-163	\frac { d + i n } { \gamma - u }
200923-131-347	\sum \limits _ { g = z } ^ { \sqrt { j } } A
200923-131-2	\int e ^ { x ^ { 2 } } x ^ { 3 } d x
MfrDB2099	2 \log ( x - 3 ) = \log ( 5 - x )
formulaire029-equation024	( p + q ) \times ( p + q )
MfrDB1693	2 ^ { x + 1 } - 2 ^ { x } = 1 6
formulaire037-equation068	\cos \theta = \beta
2009210-947-230	\sum \limits _ { H = s } ^ { n } 4 5
formulaire006-equation017	t = \frac { \pi } { 2 }
KME1G3_8_sub_10	\int \limits _ { a } ^ { b } \frac { \sqrt { x } } { 2 } d x
2009213-139-13	\sqrt { 1 + \sqrt { 1 + z ^ { 2 } } }
200924-1331-68	\tan ( \frac { \pi } { 2 } ) = \infty
2009210-947-44	\sin ( \frac { \pi } { 4 } ) = \frac { 1 } { \sqrt { 2 } }
TrainData1_5_sub_3	x ^ { 2 } + y ^ { 2 } < 1
200922-949-43	\frac { \pi r ^ { 2 } h } { 3 }
MfrDB3405	x ^ { y } - y ^ { x }
formulaire002-equation067	h _ { 1 1 } ( t ) = t ^ { 3 } - t ^ { 2 }
formulaire024-equation016	\frac { z } { ( z - 1 ) ^ { 2 } }
200923-1251-26	a + \frac { \sqrt { b + c } } { 2 }
MfrDB2848	\sum \limits _ { i = 0 } ^ { n } n i = 2 ^ { n }
formulaire015-equation008	x ^ { 2 } - 2 9 y ^ { 2 } = 1
MfrDB3471	\sqrt { x } = 1 0 ^ { ( \log x ) / 2 }
MfrDB1583	\int \limits _ { a } ^ { a } f ( x ) d x = 0
65_alfonso	x = r \cos \theta
200922-949-44	\sin ( \frac { \pi } { 4 } ) = \frac { 1 } { \sqrt { 2 } }
200922-947-44	\sin ( \frac { \pi } { 4 } ) = \frac { 1 } { \sqrt { 2 } }
200925-1126-32	a x ^ { 4 } + b x + c = 0
200923-1254-48	\sin ( \frac { \pi } { 3 } ) = \frac { 1 } { 2 }
2009213-137-189	[ L ] ^ { - p - S } ( \frac { k } { j } )
MfrDB0078	r = | y _ { 0 } - b | \sqrt { 1 + y _ { 0 } ^ { 2 } }
KME2G3_7_sub_81	\pi \int \limits _ { c } ^ { d } \{ g ( y ) \} ^ { 2 } d y
106_leissi	y ^ { 4 } + y + 1 = 0
200923-1556-42	\frac { 1 } { 3 } \pi r ^ { 2 } h
MfrDB3155	v _ { c } = v _ { c - 1 } ( \frac { r - c } { c } )
formulaire002-equation055	( 1 8 + 2 2 ) \div 9 2 \neq 0
MfrDB3083	\sqrt [ n ] { \frac { n + 1 } { ( n - 1 ) ^ { 2 } } }
200923-131-171	\int \limits _ { \sum 5 } ^ { 2 - S } q d z _ { n }
KME2G3_1_sub_65	[ \frac { 2 } { 3 } x ^ { \frac { 3 } { 2 } } ] _ { 0 } ^ { 1 }
formulaire005-equation046	\frac { 1 } { 3 } \frac { 1 } { 3 } \gamma
MfrDB1561	2 ^ { x + 1 } - 2 ^ { x } = 1 6
TrainData2_15_sub_63	\frac { 1 } { a } F ( a x + b ) + C
formulaire002-equation041	( - a ) ^ { n } = a ^ { n }
106_david	y ^ { 4 } + y + 1 = 0
2009213-137-199	[ \sum h ] < \sum f + n
TrainData2_25_sub_61	\int ( 2 ^ { x } - 3 e ^ { x } ) d x
MfrDB3245	v _ { c } = v _ { c - 1 } ( \frac { r - c } { c } )
200922-947-42	\frac { 1 } { 3 } \pi r ^ { 2 } h
formulaire004-equation021	c = \sqrt { a ^ { 2 } + b ^ { 2 } } = \sqrt { 2 }
KME2G3_27_sub_81	\pi \int \limits _ { c } ^ { d } \{ g ( y ) \} ^ { 2 } d y
formulaire034-equation042	a ( v ^ { 2 } ) = a ( ( - v ) ^ { 2 } )
200923-1254-68	\tan ( \frac { \pi } { 2 } ) = \infty
109_user0	\sqrt [ x ] { \frac { a } { b } } = \frac { \sqrt [ x ] { a } } { \sqrt [ x ] { b } }
200922-947-38	\frac { 4 } { 3 } \pi r ^ { 3 }
MfrDB2011	\sqrt { x } = 1 0 ^ { ( \log x ) / 2 }
2009213-139-2	\int e ^ { x ^ { 2 } } x ^ { 3 } d x
MfrDB0086	\frac { f ( x _ { 0 } + h ) - f ( x ) } { h }
200924-1312-270	\log \frac { Y } { o - y }
TrainData2_16_sub_61	\int ( 2 ^ { x } - 3 e ^ { x } ) d x
MfrDB3025	\sum \limits _ { n = 0 } ^ { \infty } f _ { n } ( x )
200923-1553-67	\tan ( \frac { \pi } { 4 } ) = 1
formulaire006-equation072	\phi = \frac { \pi } { 2 p }
MfrDB2583	V = a \cdot b \cdot c
106_herbert	y ^ { 4 } + y + 1 = 0
200922-947-208	\sin ^ { r } \pi
formulaire032-equation001	x = c \times \beta
TrainData2_17_sub_20	a + b + c + d + e
MfrDB3323	2 ^ { x + 1 } - 2 ^ { x } = 1 6
MfrDB2404	a _ { n } = a _ { 1 } \cdot q ^ { n - 1 }
MfrDB3242	e ^ { \pi i } + 1 = 0
MfrDB2895	\sqrt [ n ] { \frac { n + 1 } { ( n - 1 ) ^ { 2 } } }
KME2G3_12_sub_81	\pi \int \limits _ { c } ^ { d } \{ g ( y ) \} ^ { 2 } d y
200923-1254-139	C \geq \sum u
KME2G3_6_sub_96	[ b ^ { x } \{ ( \frac { a } { b } ) ^ { x } + 1 \} ] ^ { \frac { 1 } { x } }
KME1G3_11_sub_10	\int \limits _ { a } ^ { b } \frac { \sqrt { x } } { 2 } d x
TrainData2_15_sub_61	\int ( 2 ^ { x } - 3 e ^ { x } ) d x
formulaire002-equation050	( 1 5 8 / 1 6 ) / 5 9 \leq 0
formulaire036-equation015	5 0 \pm 1 5 1 \div 4 4
MfrDB1712	\int \cos t d t = \sin t
formulaire020-equation007	( m + 1 ) \times ( n + 1 )
MfrDB3232	\sum \limits _ { n = 1 } ^ { \infty } ( b _ { n } - b _ { n + 1 } )
200926-1550-42	\frac { 1 } { 3 } \pi r ^ { 2 } h
65_carlos	x = r \cos \theta
TrainData2_22_sub_61	\int ( 2 ^ { x } - 3 e ^ { x } ) d x
MfrDB2625	\int \limits _ { a } ^ { a } f ( x ) d x = 0
200923-1254-42	\frac { 1 } { 3 } \pi r ^ { 2 } h
formulaire024-equation058	a = \alpha + i \beta
TrainData2_1_sub_20	a + b + c + d + e
KME2G3_26_sub_81	\pi \int \limits _ { c } ^ { d } \{ g ( y ) \} ^ { 2 } d y
MfrDB2296	2 ^ { x + 1 } - 2 ^ { x } = 1 6
MfrDB1247	( y - 3 ) ( y + 3 ) + y ( y + 3 ) = 0
MfrDB3394	\sum \limits _ { n = 0 } ^ { \infty } f _ { n } ( x )
90_lucelia	y = r \sin \theta
formulaire005-equation020	1 0 0 \pm 1 5 \times 1 6
MfrDB0009	y = a \cdot \sin ( 2 \pi f t )
formulaire031-equation046	\frac { a ^ { 2 } } { b ^ { 2 } } - 1
200924-1331-215	\log 2 . 1 ^ { B - [ 0 . 4 ] }
MfrDB2098	6 ^ { 6 } \cdot 6 ^ { 2 } = ( 6 ^ { x } ) ^ { 4 }
formulaire018-equation003	2 ^ { k - 1 } ( 2 ^ { k } - 1 )
TrainData1_0_sub_3	x ^ { 2 } + y ^ { 2 } < 1
200922-947-43	\frac { \pi r ^ { 2 } h } { 3 }
200922-949-14	a + \sqrt { \frac { b + c } { d + f } }
formulaire002-equation072	( 0 , \pm 1 , \pm 1 , 0 )
MfrDB2429	s = s _ { 0 } t + \frac { 1 } { 2 } a t ^ { 2 }
MfrDB2492	\frac { \sqrt { 9 9 x ^ { 7 } } } { 1 1 x ^ { 3 } }
MfrDB1863	\int \cos t d t = \sin t
200924-1331-195	\frac { p - e + k } { ( \sigma ) }
2009210-947-13	\sqrt { 1 + \sqrt { 1 + z ^ { 2 } } }
formulaire009-equation006	\cos ( a ) \cos ( b )
200926-1617-9	\frac { r ( g ) + p } { \frac { l } { 1 } }
MfrDB3256	v _ { c } = v _ { c - 1 } ( \frac { r - c } { c } )
MfrDB1620	\frac { 1 } { 2 } ( 1 9 x - 2 y ) ^ { x - y }
200922-949-151	\frac { r - \sum 2 } { L _ { q } }
2009220-1327-48	\sin ( \frac { \pi } { 3 } ) = \frac { 1 } { 2 }
200923-1251-2	\int e ^ { x ^ { 2 } } x ^ { 3 } d x
200923-131-14	a + \sqrt { \frac { b + c } { d + f } }
formulaire007-equation026	( n - 1 ) 2 ^ { n - 4 }
2009213-139-38	\frac { 4 } { 3 } \pi r ^ { 3 }
MfrDB1564	S _ { n } = \sum \limits _ { k = 1 } ^ { n } a _ { k }
2009210-947-2	\int e ^ { x ^ { 2 } } x ^ { 3 } d x
formulaire019-equation050	1 4 3 \pm 1 9 1 \times 7
formulaire036-equation045	9 3 \times 6 7 \neq 4 7 5 5
MfrDB1964	t = \frac { t _ { 0 } } { \sqrt { 1 - \frac { v ^ { 2 } } { c ^ { 2 } } } }
KME2G3_15_sub_96	[ b ^ { x } \{ ( \frac { a } { b } ) ^ { x } + 1 \} ] ^ { \frac { 1 } { x } }
MfrDB1343	a ^ { 2 } + b ^ { 2 } = c ^ { 2 }
MfrDB3383	( \frac { 1 } { m ^ { 2 } } - \frac { 3 m } { n } + \frac { 2 } { m n } )
MfrDB3312	( 1 + x ) ^ { r } \geq 1 + r x
KME2G3_9_sub_96	[ b ^ { x } \{ ( \frac { a } { b } ) ^ { x } + 1 \} ] ^ { \frac { 1 } { x } }
MfrDB3041	\sum \limits _ { n = 0 } ^ { \infty } f _ { n } ( x )
MfrDB3484	\frac { 2 ^ { 5 } } { 3 + 1 }
KME2G3_1_sub_96	[ b ^ { x } \{ ( \frac { a } { b } ) ^ { x } + 1 \} ] ^ { \frac { 1 } { x } }
MfrDB1747	| \sin z | = \sqrt { 1 - \cos ^ { 2 } z }
2009212-952-13	\sqrt { 1 + \sqrt { 1 + z ^ { 2 } } }
MfrDB2911	\sqrt [ n ] { \frac { n + 1 } { ( n - 1 ) ^ { 2 } } }
MfrDB1479	\int \cos t d t = \sin t
200922-949-13	\sqrt { 1 + \sqrt { 1 + z ^ { 2 } } }
KME1G3_2_sub_10	\int \limits _ { a } ^ { b } \frac { \sqrt { x } } { 2 } d x
KME2G3_0_sub_81	\pi \int \limits _ { c } ^ { d } \{ g ( y ) \} ^ { 2 } d y
MfrDB1690	2 \log ( x - 3 ) = \log ( 5 - x )
TrainData2_6_sub_61	\int ( 2 ^ { x } - 3 e ^ { x } ) d x
MfrDB3056	v _ { c } = v _ { c - 1 } ( \frac { r - c } { c } )
formulaire016-equation044	x \times ( + \infty )
2009213-139-26	a + \frac { \sqrt { b + c } } { 2 }
formulaire038-equation041	x ^ { 2 } - x \sqrt { 5 } + 1
2009213-137-126	\frac { g + g } { x - \gamma }
KME2G3_23_sub_81	\pi \int \limits _ { c } ^ { d } \{ g ( y ) \} ^ { 2 } d y
200926-1550-44	\sin ( \frac { \pi } { 4 } ) = \frac { 1 } { \sqrt { 2 } }
MfrDB1836	( y - 3 ) ( y + 3 ) + y ( y + 3 ) = 0
formulaire015-equation028	X ^ { 3 } - X ^ { 2 } - 2 X + 1 = 0
formulaire036-equation005	1 0 7 - 1 1 0 - 6 0 \geq - 6 3
formulaire014-equation038	\frac { ( n - 2 ) \pi } { n }
200922-1017-44	\sin ( \frac { \pi } { 4 } ) = \frac { 1 } { \sqrt { 2 } }
MfrDB2496	( y - 3 ) ( y + 3 ) + y ( y + 3 ) = 0
formulaire009-equation034	y ^ { 5 } + p y + q
106_caue	y ^ { 4 } + y + 1 = 0
MfrDB3321	6 ^ { 6 } \cdot 6 ^ { 2 } = ( 6 ^ { x } ) ^ { 4 }
2009213-137-42	\frac { 1 } { 3 } \pi r ^ { 2 } h
200922-1017-38	\frac { 4 } { 3 } \pi r ^ { 3 }
200923-131-44	\sin ( \frac { \pi } { 4 } ) = \frac { 1 } { \sqrt { 2 } }
formulaire020-equation016	( x ^ { 2 } - 5 ) ^ { 2 } - 2 4
MfrDB3391	\lim \limits _ { x \rightarrow c } f ( x ) = f ( c )
formulaire020-equation000	9 9 \pm ( 9 0 - 1 3 ) \times 8 2
200926-131-48	\sin ( \frac { \pi } { 3 } ) = \frac { 1 } { 2 }
TrainData2_11_sub_20	a + b + c + d + e
MfrDB1615	\frac { 1 2 - 7 7 } { 3 8 } + b ^ { 7 }
200923-131-129	\frac { A } { \int m d n }
MfrDB1943	\sqrt { a } = 2 ^ { - n } \sqrt { 4 ^ { n } a }
MfrDB3833	\sqrt [ n ] { \frac { n + 1 } { ( n - 1 ) ^ { 2 } } }
MfrDB1815	\frac { 2 ^ { 5 } } { 3 + 1 }
formulaire031-equation070	( 1 9 6 - 1 2 2 ) / 1 0 2 \leq 1
65_leissi	x = r \cos \theta
formulaire012-equation064	\frac { s ^ { 2 } } { l ^ { 2 } }
TrainData2_8_sub_61	\int ( 2 ^ { x } - 3 e ^ { x } ) d x
2009212-952-14	a + \sqrt { \frac { b + c } { d + f } }
MfrDB3831	\sqrt { a } = 2 ^ { - n } \sqrt { 4 ^ { n } a }
formulaire009-equation072	\frac { 2 - p } { \sqrt { r q } }
TrainData2_16_sub_63	\frac { 1 } { a } F ( a x + b ) + C
2009213-137-7	\sum \limits _ { m } f ( m + 3 )
MfrDB3508	\frac { 5 x - 7 } { 3 } \leq 2 x + 5
MfrDB1618	\cos ^ { 2 } ( 3 3 \pi - 1 )
KME1G3_0_sub_10	\int \limits _ { a } ^ { b } \frac { \sqrt { x } } { 2 } d x
200922-949-24	\int e ^ { - z ^ { 2 } } d z = e r f ( z )
200922-947-219	- \sum \limits _ { a = 7 } ^ { P } Y
MfrDB2847	( x + 1 ) ^ { n + 1 } = ( x + 1 ) ( x + 1 ) ^ { n }
formulaire027-equation036	2 \cos ^ { 2 } ( \frac { x } { 2 } )
200922-949-269	\sum \limits _ { X > a } \alpha - c
MfrDB1257	\sqrt [ 3 ] { \frac { z ^ { 3 } + 2 } { \sqrt { z } + 1 } }
200923-1254-330	\sum \limits _ { g = z } ^ { \sqrt { j } } L
200923-1253-103	\frac { \sqrt { R } + F } { \sum B }
formulaire006-equation031	6 = 2 ^ { 1 } ( 2 ^ { 2 } - 1 )
formulaire032-equation004	( q + p e ^ { i t } ) ^ { n }
MfrDB0051	1 = \sin ^ { 2 } x + \cos ^ { 2 } x
200926-1617-131	q \sum \limits _ { R > m } G - z
MfrDB3534	\int \cos t d t = \sin t
200924-1331-38	\frac { 4 } { 3 } \pi r ^ { 3 }
2009212-1031-93	\sum \limits _ { u \geq x } X - p
65_Frank	x = r \cos \theta
TrainData2_5_sub_15	( x ^ { 3 } - x ^ { 2 } - x ) ( 2 x - 7 )
MfrDB3152	\sum \limits _ { n = 0 } ^ { \infty } f _ { n } ( x )
MfrDB1832	\frac { \sqrt { 9 9 x ^ { 7 } } } { 1 1 x ^ { 3 } }
MfrDB3027	\sum \limits _ { n = 1 } ^ { \infty } ( b _ { n } - b _ { n + 1 } )
2009212-1031-111	\sum \limits _ { T \geq g } 8 . 2
200923-1553-38	\frac { 4 } { 3 } \pi r ^ { 3 }
MfrDB3322	2 \log ( x - 3 ) = \log ( 5 - x )
formulaire018-equation017	\alpha , - \alpha
200922-947-86	\int \limits _ { \frac { E } { y } } ^ { - r } - o d M
TrainData2_21_sub_61	\int ( 2 ^ { x } - 3 e ^ { x } ) d x
MfrDB1243	\frac { \sqrt { 9 9 x ^ { 7 } } } { 1 1 x ^ { 3 } }
200924-1312-37	1 3 + \pi r ^ { 2 }
200924-1331-67	\tan ( \frac { \pi } { 4 } ) = 1
formulaire002-equation070	1 4 8 - 1 4 1 \neq - 4
MfrDB2862	h ( x , y ) = x ^ { y + \frac { 1 } { y } }
MfrDB3305	\lim \limits _ { x \rightarrow c } f ( x ) = f ( c )
KME2G3_9_sub_81	\pi \int \limits _ { c } ^ { d } \{ g ( y ) \} ^ { 2 } d y
200923-1553-300	2 \sum Y \leq g + L - \theta
TrainData2_12_sub_61	\int ( 2 ^ { x } - 3 e ^ { x } ) d x
200926-1617-16	\frac { u + r } { \sqrt { u } }
MfrDB3179	h ( x , y ) = x ^ { y + \frac { 1 } { y } }
MfrDB3101	h ( x , y ) = x ^ { y + \frac { 1 } { y } }
MfrDB1464	\sqrt [ 3 ] { \frac { z ^ { 3 } + 2 } { \sqrt { z } + 1 } }
200923-1556-229	\frac { \cdots + \gamma } { [ N ] }
MfrDB1460	2 ^ { x + 1 } - 2 ^ { x } = 1 6
200926-1550-38	\frac { 4 } { 3 } \pi r ^ { 3 }
2009212-952-2	\int e ^ { x ^ { 2 } } x ^ { 3 } d x
MfrDB1782	\frac { 2 ^ { 5 } } { 3 + 1 }
formulaire036-equation010	1 0 2 \times ( 1 3 6 / 1 6 4 ) \geq 8 4
MfrDB2842	\sqrt { a } = 2 ^ { - n } \sqrt { 4 ^ { n } a }
90_david	y = r \sin \theta
200922-1017-2	\int e ^ { x ^ { 2 } } x ^ { 3 } d x
MfrDB2981	v _ { c } = v _ { c - 1 } ( \frac { r - c } { c } )
200926-1617-13	\sqrt { 1 + \sqrt { 1 + z ^ { 2 } } }
formulaire003-equation063	x ( \theta ) = a \sin ( \theta )
TrainData1_6_sub_15	F _ { n } = F _ { n - 1 } + F _ { n - 2 }
200923-1556-37	1 3 + \pi r ^ { 2 }
2009213-137-24	\int e ^ { - z ^ { 2 } } d z = e r f ( z )
MfrDB3141	( \frac { 1 } { m ^ { 2 } } - \frac { 3 m } { n } + \frac { 2 } { m n } )
MfrDB2294	6 ^ { 6 } \cdot 6 ^ { 2 } = ( 6 ^ { x } ) ^ { 4 }
MfrDB3462	f ^ { \prime } ( x ) = \frac { 1 } { 2 \sqrt { x } }
MfrDB1842	6 ^ { 6 } \cdot 6 ^ { 2 } = ( 6 ^ { x } ) ^ { 4 }
2009220-1327-51	- s + \frac { T } { L }
106_Fabricio	y ^ { 4 } + y + 1 = 0
KME2G3_29_sub_81	\pi \int \limits _ { c } ^ { d } \{ g ( y ) \} ^ { 2 } d y
200923-1251-212	\frac { 7 6 } { \sqrt { z - k } }
200923-1556-80	e ^ { \int x ^ { 2 } d x }
MfrDB2293	\log 5 + \log 4 x = 2
200925-1126-19	x ^ { 2 } + y ^ { 2 } = z ^ { 2 }
TrainData1_8_sub_3	x ^ { 2 } + y ^ { 2 } < 1
MfrDB1454	( y - 3 ) ( y + 3 ) + y ( y + 3 ) = 0
200924-1331-43	\frac { \pi r ^ { 2 } h } { 3 }
MfrDB2986	( \frac { 1 } { m ^ { 2 } } - \frac { 3 m } { n } + \frac { 2 } { m n } )
200923-1553-42	\frac { 1 } { 3 } \pi r ^ { 2 } h
2009220-1327-56	2 \alpha + 3 \sqrt { \beta }
TrainData2_10_sub_61	\int ( 2 ^ { x } - 3 e ^ { x } ) d x
TrainData2_24_sub_61	\int ( 2 ^ { x } - 3 e ^ { x } ) d x
formulaire029-equation020	1 7 4 \div 7 \leq 2 5
TrainData2_14_sub_63	\frac { 1 } { a } F ( a x + b ) + C
200924-1312-219	\sqrt { n } ^ { k + r } ( N )
200923-131-300	\sqrt { x } ^ { k \Delta } ( i _ { L } )
KME2G3_15_sub_81	\pi \int \limits _ { c } ^ { d } \{ g ( y ) \} ^ { 2 } d y
200923-1553-48	\sin ( \frac { \pi } { 3 } ) = \frac { 1 } { 2 }
TrainData2_0_sub_61	\int ( 2 ^ { x } - 3 e ^ { x } ) d x
formulaire016-equation053	X ^ { 2 } - 2 X - 1 = 0
TrainData2_23_sub_20	a + b + c + d + e
MfrDB1324	\sqrt { x y z } = \sqrt { x } \sqrt { y } \sqrt { z }
MfrDB3506	\log 5 + \log 4 x = 2
KME2G3_21_sub_96	[ b ^ { x } \{ ( \frac { a } { b } ) ^ { x } + 1 \} ] ^ { \frac { 1 } { x } }
formulaire008-equation051	\frac { 1 } { \log _ { a } ( b ) }
formulaire027-equation024	e ^ { \alpha t } \cos \beta t
200923-1253-34	\frac { \cdots + 0 . 3 } { \int F d j }
formulaire009-equation016	a ^ { n } b ^ { n } c ^ { n } d ^ { n }
MfrDB3077	\sqrt [ n ] { \frac { n + 1 } { ( n - 1 ) ^ { 2 } } }
200923-1254-43	\frac { \pi r ^ { 2 } h } { 3 }
2009213-137-225	\cos \frac { E } { M }
MfrDB1458	6 ^ { 6 } \cdot 6 ^ { 2 } = ( 6 ^ { x } ) ^ { 4 }
MfrDB2421	\int \cos t d t = \sin t
200926-131-43	\frac { \pi r ^ { 2 } h } { 3 }
KME2G3_22_sub_96	[ b ^ { x } \{ ( \frac { a } { b } ) ^ { x } + 1 \} ] ^ { \frac { 1 } { x } }
formulaire012-equation051	x ^ { \alpha } e ^ { - x }
MfrDB3250	2 \sin ( x + 5 ) + 5 !
MfrDB1251	6 ^ { 6 } \cdot 6 ^ { 2 } = ( 6 ^ { x } ) ^ { 4 }
MfrDB3263	h ( x , y ) = x ^ { y + \frac { 1 } { y } }
200923-1556-14	a + \sqrt { \frac { b + c } { d + f } }
200923-1253-42	\frac { 1 } { 3 } \pi r ^ { 2 } h
formulaire036-equation073	Y = \frac { 1 } { 1 + e ^ { - X } }
formulaire001-equation056	n ^ { 2 } - n + 4 1
MfrDB0117	k = \frac { n \pi } { L }
formulaire003-equation001	- \frac { 1 } { \pi }
KME2G3_12_sub_96	[ b ^ { x } \{ ( \frac { a } { b } ) ^ { x } + 1 \} ] ^ { \frac { 1 } { x } }
2009210-947-43	\frac { \pi r ^ { 2 } h } { 3 }
MfrDB2771	1 + t g ^ { 2 } y = \frac { 1 } { \cos ^ { 2 } y }
formulaire024-equation026	\frac { b } { \sqrt { 1 - e ^ { 2 } } }
formulaire027-equation069	0 \leq p \leq 1
200922-947-68	\tan ( \frac { \pi } { 2 } ) = \infty
TrainData2_24_sub_33	\log _ { 2 } 8 + \log _ { 3 } 9 + \log _ { 4 } 1 6
MfrDB3528	s = s _ { 0 } t + \frac { 1 } { 2 } a t ^ { 2 }
200923-1556-44	\sin ( \frac { \pi } { 4 } ) = \frac { 1 } { \sqrt { 2 } }
formulaire022-equation025	4 7 - 6 4 \leq - 1 6
MfrDB1482	\int \limits _ { a } ^ { a } f ( x ) d x = 0
TrainData2_26_sub_63	\frac { 1 } { a } F ( a x + b ) + C
200922-947-2	\int e ^ { x ^ { 2 } } x ^ { 3 } d x
MfrDB0022	\frac { 1 - 2 + \frac { 3 } { 4 } } { ( 5 - 6 ) ^ { 7 } }
MfrDB2097	\log 5 + \log 4 x = 2
200922-949-26	a + \frac { \sqrt { b + c } } { 2 }
MfrDB1250	\log 5 + \log 4 x = 2
200922-947-167	\beta ^ { E + e } + 0 < \int \beta d k
200926-1550-2	\int e ^ { x ^ { 2 } } x ^ { 3 } d x
formulaire012-equation060	1 2 9 \div 1 7 3 \leq 1
MfrDB0053	\int x ^ { 3 } d x = \frac { 1 } { 3 } x ^ { 3 } + C
200923-1254-2	\int e ^ { x ^ { 2 } } x ^ { 3 } d x
MfrDB3095	v _ { c } = v _ { c - 1 } ( \frac { r - c } { c } )
formulaire011-equation046	y ( \alpha ) = \alpha \theta ( \alpha )
MfrDB3510	\lim \limits _ { x \rightarrow c } f ( x ) = f ( c )
MfrDB1906	| \sin z | = \sqrt { 1 - \cos ^ { 2 } z }
MfrDB0399	a ^ { 2 } + b ^ { 2 } = c ^ { 2 }
MfrDB1438	\frac { 2 ^ { 5 } } { 3 + 1 }
formulaire039-equation008	( 5 n ^ { 2 } - n ) + 1
MfrDB1275	\int \limits _ { a } ^ { a } f ( x ) d x = 0
TrainData2_9_sub_6	x _ { i } - x _ { i + 1 } + x _ { i + 2 }
KME2G3_17_sub_81	\pi \int \limits _ { c } ^ { d } \{ g ( y ) \} ^ { 2 } d y
formulaire009-equation061	x = r \cos \theta
95_Nina	b = c \sin B = c \cos A
200926-1617-154	\int \limits _ { 4 . 4 } ^ { \int - 3 d R } L d e
106_Nina	y ^ { 4 } + y + 1 = 0
TrainData2_5_sub_20	a + b + c + d + e
MfrDB1328	| a + i b | = \sqrt { x ^ { 2 } + y ^ { 2 } }
formulaire002-equation065	1 4 \times 8 7 \neq - 1 9 6
KME2G3_3_sub_96	[ b ^ { x } \{ ( \frac { a } { b } ) ^ { x } + 1 \} ] ^ { \frac { 1 } { x } }
MfrDB2250	P ( t ) = \frac { 1 } { 1 + e ^ { - t } }
2009212-1031-10	\cos \frac { 7 } { h ^ { F } }
MfrDB2298	a _ { n } = a _ { 1 } \cdot q ^ { n - 1 }
MfrDB1715	\int \limits _ { a } ^ { a } f ( x ) d x = 0
KME2G3_24_sub_96	[ b ^ { x } \{ ( \frac { a } { b } ) ^ { x } + 1 \} ] ^ { \frac { 1 } { x } }
MfrDB3062	\sqrt [ n ] { \frac { n + 1 } { ( n - 1 ) ^ { 2 } } }
MfrDB1525	\frac { ( | a | - | b | ) ^ { 2 } } { | a - b | }
2009220-1327-13	\sqrt { 1 + \sqrt { 1 + z ^ { 2 } } }
106_fabio	y ^ { 4 } + y + 1 = 0
TrainData2_7_sub_15	( x ^ { 3 } - x ^ { 2 } - x ) ( 2 x - 7 )
200925-1126-55	\frac { 1 } { \sin ( x ) + 1 }
MfrDB3466	| a + i b | = \sqrt { x ^ { 2 } + y ^ { 2 } }
TrainData1_3_sub_15	F _ { n } = F _ { n - 1 } + F _ { n - 2 }
formulaire022-equation030	5 9 - 1 3 5 + 1 2 5 \geq 4 8
MfrDB3458	\frac { ( | a | - | b | ) ^ { 2 } } { | a - b | }
2009213-137-55	\frac { 1 } { \sin ( x ) + 1 }
2009213-137-2	\int e ^ { x ^ { 2 } } x ^ { 3 } d x
MfrDB1318	\frac { ( | a | - | b | ) ^ { 2 } } { | a - b | }
KME1G3_6_sub_10	\int \limits _ { a } ^ { b } \frac { \sqrt { x } } { 2 } d x
200923-1553-268	\cdots + l ^ { \beta }
200923-1556-2	\int e ^ { x ^ { 2 } } x ^ { 3 } d x
TrainData2_12_sub_63	\frac { 1 } { a } F ( a x + b ) + C
TrainData1_1_sub_15	F _ { n } = F _ { n - 1 } + F _ { n - 2 }
MfrDB1934	\frac { ( | a | - | b | ) ^ { 2 } } { | a - b | }
200926-131-38	\frac { 4 } { 3 } \pi r ^ { 3 }
200922-1017-42	\frac { 1 } { 3 } \pi r ^ { 2 } h
